company_name,company_id,is_top_company
101 Studios,124254,FALSE
20th Century Studios,127928,TRUE
3388 Films,,FALSE
3D Entertainment,5313,FALSE
8x Entertainment,,FALSE
A24,41077,TRUE
Aascar Film,,FALSE
Abramorama,95417,FALSE
Adlabs Films,103209,FALSE
Affirm Films,10156,FALSE
Alchemy,,FALSE
Alerion,,FALSE
Alliance Atlantis Vivafilm,,FALSE
Aloha Releasing,,FALSE
Amazon Studios,20580,TRUE
Amazon/MGM,20580,TRUE
AMC Theaters,,TRUE
Anchor Bay Films,5860,FALSE
Angel Studios,11350,FALSE
Annapurna Pictures,13184,FALSE
Arc Entertainment,23703,FALSE
Area 23a,68841,FALSE
Arenas Entertainment,,FALSE
ArtAffects Entertainment,69088,FALSE
Artisan Entertainment,2188,FALSE
Atlas Distribution Company,133462,FALSE
ATO Pictures,1962,FALSE
Avatar Films,,FALSE
Aviron Pictures,102836,FALSE
BH Tilt,73625,FALSE
Bleecker Street Media,,FALSE
Blue Fox Entertainment,104292,FALSE
Blue Sky Cinema,,FALSE
Branded/Peck Entertainment,,FALSE
Briarcliff Entertainment,191127,FALSE
Broad Green Pictures,49389,FALSE
Buena Vista International,232381,FALSE
CanZion Films,,FALSE
Capelight Pictures,14551,FALSE
Captured Light Distribution,,FALSE
Castle Hill Productions,6429,FALSE
CBS Films,5490,FALSE
Chicago Pictures,59453,FALSE
China Lion Film Distribution,,FALSE
Cho,,FALSE
Christal Films,749,FALSE
Cinedigm Entertainment Group,168122,FALSE
CineGalaxy,,FALSE
CineLife Entertainment,,FALSE
Cinelou Films,39644,FALSE
Cineverse,238902,FALSE
Cineville,2832,FALSE
Circus King Productions,,FALSE
CJ Entertainment,7036,FALSE
Clarius Entertainment,36991,FALSE
Cloud Ten Pictures,3226,FALSE
Cloudburst Entertainment,132061,FALSE
CMC Pictures,92484,FALSE
Codeblack Entertainment,35327,FALSE
Cohen Media Group,9122,FALSE
Collide Distribution,,FALSE
Columbia Pictures,5,FALSE
Counterpoint Films & Self-Realization Fellowship,,FALSE
Cowboy Pictures,220845,FALSE
Crunchyroll,98553,FALSE
CT & Co,,FALSE
D'Souza Media,107196,FALSE
Destination Films,769,FALSE
Dimension Films,7405,FALSE
Drafthouse Films,10485,FALSE
Dragon Dynasty,,FALSE
DreamWorks,7,TRUE
DreamWorks Distribution,,TRUE
Drive-in Doc Inc.,,FALSE
EchoLight Studios,39281,FALSE
Electric Entertainment,3241,FALSE
Entertainment One,8147,FALSE
Entertainment Studios Motion Pictures,97584,FALSE
eOne Entertainment,,FALSE
Equinox,,FALSE
Eros Worldwide,7142,FALSE
EuropaCorp,6896,FALSE
Excel Entertainment,2934,FALSE
Faith Media Distribution,,FALSE
Falling Forward Films,208732,FALSE
Fathom Events,,FALSE
FDN,,FALSE
Film Foundry,,FALSE
Film Movement,6685,FALSE
FilmDistrict,7263,FALSE
Fin and Fur Films,199092,FALSE
Fine Line Features,8,FALSE
FIP,7552,FALSE
First Look International,11054,FALSE
