Movie ID,Month,Year,Rank,Domestic Gross,Total Theaters,Total Gross,Release Date,Distributor
4748,1,2023,1,222528552,4340,684075767,,20th Century Studios
4756,1,2023,2,86503985,4121,186090535,,Universal Pictures
234,1,2023,3,83058490,3628,95159005,,Universal Pictures
4775,1,2023,4,47561111,3957,64267657,,Columbia Pictures
271,1,2023,5,26138048,3060,32111181,,Lionsgate
270,1,2023,6,18575107,3025,32502025,,Sony Pictures Releasing
4749,1,2023,7,16656634,4396,453829060,,Walt Disney Studios Motion Pictures
286,1,2023,8,10822853,697,17487476,,Yash Raj Films USA Inc.
4793,1,2023,9,10224940,3625,23708080,,TriStar Pictures
4802,1,2023,10,9807231,1721,17463630,,A24
310,1,2023,11,8510082,1400,9002247,,Warner Bros.
4804,1,2023,12,6268558,3351,15351455,,Paramount Pictures
4803,1,2023,13,4411990,1962,17348945,,Universal Pictures
351,1,2023,14,3276980,1407,3649422,,Fathom Events
335,1,2023,15,3047191,1835,5078400,,Neon
4779,1,2023,16,2949520,3723,50057405,,Universal Pictures
4785,1,2023,17,2772515,3228,38501125,,Searchlight Pictures
4835,1,2023,18,2501510,707,5456531,,United Artists Releasing
367,1,2023,19,1907454,809,2052272,,IFC Films
378,1,2023,20,1588491,1473,1588491,,Crunchyroll
337,1,2023,21,1355000,172,5023132,,Well Go USA Entertainment
4771,1,2023,22,1278230,2220,77191785,,A24
365,1,2023,23,1227545,974,2090261,,Hidden Empire Film Group (HEFG)
4787,1,2023,24,1118720,4174,37968963,,Walt Disney Studios Motion Pictures
4850,1,2023,25,995996,644,3038113,,Sony Pictures Classics
4890,1,2023,26,968617,271,1046899,,Neon
4816,1,2023,27,909859,1205,10582266,,Searchlight Pictures
404,1,2023,28,764703,925,765218,,Third Day Productions
384,1,2023,29,703180,465,1293722,,Vertical Entertainment
4797,1,2023,30,672329,3458,20511938,,Columbia Pictures
4831,1,2023,31,623870,1090,6773650,,Focus Features
4906,1,2023,32,610523,317,705767,,IFC Films
5117,1,2023,33,601490,1040,601490,,Fathom Events
5118,1,2023,34,409098,554,449650,,Sony Pictures Classics
4888,1,2023,35,386646,80,1068782,,Sideshow Releasing
5119,1,2023,36,320000,350,320000,,""
4872,1,2023,37,307710,97,1658790,,A24
4885,1,2023,38,260974,436,1177577,,Searchlight Pictures
5120,1,2023,39,196920,403,196920,,A24
5121,1,2023,40,186110,245,213953,,Neon
4780,1,2023,41,183073,4350,46888441,,Sony Pictures Releasing
4840,1,2023,42,172290,610,4608096,,Neon
4774,1,2023,43,149862,3765,67328130,,TriStar Pictures
4937,1,2023,44,149038,34,335417,,Sony Pictures Releasing
4919,1,2023,45,127709,48,500082,,Neon
5122,1,2023,46,101000,0,101000,,Lionsgate
4757,1,2023,47,97874,4402,168152111,,Warner Bros.
5123,1,2023,48,88640,98,307188,,Utopia
5124,1,2023,49,81577,23,167333,,Janus Films
4834,1,2023,50,80781,1204,5644104,,Fathom Events
390,1,2023,51,71651,233,1100113,,A24
4773,1,2023,52,70225,4066,68275985,,Universal Pictures
5125,1,2023,53,63798,7,180135,,Kino Lorber
4808,1,2023,54,45577,135,399485,,Variance Films
4860,1,2023,55,42013,169,2179864,,MUBI
5126,1,2023,56,31194,13,210187,,Well Go USA Entertainment
