Movie ID,Year,Rank,Domestic Gross,Total Theaters,Opening Revenue,Percent of Total,Opening Weekend Theaters,Opening Weekend Date,Distributor
209,2023,1,636238421,4337,162022044,0.26,4243,2023-07-21,Warner Bros.
210,2023,2,574934330,4371,146361865,0.26,4343,2023-04-05,Universal Pictures
211,2023,3,381311319,4332,120663589,0.32,4313,2023-06-02,Columbia Pictures
212,2023,4,358995815,4450,118414021,0.33,4450,2023-05-05,Walt Disney Studios Motion Pictures
213,2023,5,329862540,3761,82455420,0.25,3610,2023-07-21,Universal Pictures
214,2023,6,298172056,4320,95578040,0.32,4320,2023-05-26,Walt Disney Studios Motion Pictures
215,2023,7,218402312,4213,39005800,0.18,4203,2023-12-15,Warner Bros.
216,2023,8,214504909,4345,106109650,0.5,4345,2023-02-17,Walt Disney Studios Motion Pictures
217,2023,9,187131806,3855,73817950,0.39,3855,2023-03-24,Lionsgate
218,2023,10,184178046,3411,19680879,0.11,2852,2023-07-04,Angel Studios
219,2023,11,180756269,3855,93224755,0.52,3855,2023-10-13,AMC Theaters
220,2023,12,174480468,4600,60368101,0.35,4600,2023-06-30,Walt Disney Studios Motion Pictures
221,2023,13,172135383,4327,54688347,0.32,4327,2023-07-12,Paramount Pictures
222,2023,14,166350594,3776,44607143,0.27,3776,2023-11-17,Lionsgate
223,2023,15,157066392,3680,61045464,0.39,3678,2023-06-09,Paramount Pictures
224,2023,16,156248615,4007,58370007,0.37,4007,2023-03-03,United Artists Releasing
225,2023,17,154426697,4035,29602429,0.19,4035,2023-06-16,Walt Disney Studios Motion Pictures
226,2023,18,146126015,4088,67017410,0.46,4046,2023-05-19,Universal Pictures
227,2023,19,137275620,3789,80001720,0.58,3675,2023-10-27,Universal Pictures International (UPI)
228,2023,20,127306285,3839,12453275,0.1,3761,2023-12-22,Universal Pictures
229,2023,21,124481226,3787,27686211,0.22,3706,2023-12-22,Warner Bros.
230,2023,22,118613586,3950,28007544,0.24,3858,2023-08-02,Paramount Pictures
231,2023,23,108161389,3676,44447270,0.41,3675,2023-03-10,Paramount Pictures
232,2023,24,108133313,4256,55043679,0.51,4234,2023-06-16,Warner Bros.
233,2023,25,102996915,3893,30002525,0.29,3870,2023-11-17,Universal Pictures
234,2023,26,95159005,3628,30429860,0.32,3509,2023-01-06,Universal Pictures
235,2023,27,93277026,3856,37205784,0.4,3855,2023-03-31,Paramount Pictures
236,2023,28,92373751,3965,34604229,0.38,3965,2023-09-01,Columbia Pictures
237,2023,29,88319668,3055,6000344,0.07,3055,2023-12-22,Columbia Pictures
238,2023,30,86267073,3743,32603336,0.38,3728,2023-09-08,Warner Bros.
239,2023,31,84500223,4030,46110859,0.55,4030,2023-11-10,Walt Disney Studios Motion Pictures
